id,tokens,pos_tags
0,"['ក្រៅ_ពី' 'នោះ' 'លិខិត' 'នេះ' 'បាន' 'បញ្ជាក់' 'យ៉ាង' 'លម្អិត' 'ពី'
 'ការ~កិបកេង' 'ប្រាក់' 'ឧបត្ថម្ភ' 'ផ្សេង' 'ៗ' 'ពី' 'ក្រសួង' 'សរុប' 'ជាង'
 '២៥' 'លាន' 'រៀល' 'ផ្សេង_ទៀត' '។']",[ 7  5 11  5  1 20 16  8  7 11 11 11  8  4  7 11  8  7  3  3 13  8  9]
1,['លោក~ជំទាវ' 'ណោន' 'សារម្យ'],[14 13 13]
2,['លោក~ជំទាវ' 'ប៉ូលែន'],[14 13]
3,['ខ្ញុំ' 'ឈ្មោះ' 'ថេងគ័ង'],[14 11 13]
4,['លោក' 'ដៀង' 'សុភា'],[14 13 13]
5,['ឯក_ឧត្ដម' 'សុផា' 'លីន'],[14 13 13]
6,"['ទិវា' 'សិទិ្ធ' 'កុមារ' 'អន្តរ_ជាតិ' 'គឺ' 'ត្រូវ_បាន' 'ប្រារព្ធ' 'ឡើង'
 'នៅ' 'ថ្ងៃ_ទី' '១' 'ខែ_មិថុនា' '។']",[11 11 11 11 20 20 20 16  7 11  3 13  9]
7,['ខ្ញុំ' 'ឈ្មោះ' 'សុខ' 'លីន'],[14 11 13 13]
8,['ឯក_ឧត្ដម' 'ចាន់'],[14 13]
9,['កញ្ញា' 'គង់' 'សារ៉ន'],[14 13 13]
10,['លោក~ស្រី' 'មួង'],[14 13]
11,['លោក~ស្រី' 'សោមរិទ្ធី'],[14 13]
12,['ឯក_ឧត្ដម' 'អ៊ឹម'],[14 13]
13,['នេះ' 'គឺ_ជា' 'ភោគ'],[ 5 20 13]
14,['ឯក_ឧត្ដម' 'ស្រស់'],[14 13]
15,['ឯក_ឧត្ដម' 'អ៊ឹម' 'ឆេង' 'លាង'],[14 13 13 13]
16,['កញ្ញា' 'អៀត'],[14 13]
17,['គាត់' 'ឈ្មោះ' 'អាន' 'សុផានី'],[14 11 13 13]
18,"['លោក' 'សោ' 'បាន' 'ត្អូញត្អែរ' 'ដូច្នេះ' 'ថា' '៖' '«' 'ជីវិត' 'ខ្ញុំ'
 'បាន' 'ផ្លាស់_ប្តូរ' 'ទាំងស្រុង' 'ហើយ' 'ក្រោយ_ពី' 'គេ' 'កាប់' 'ខ្ញុំ'
 'នោះ' 'មក' '។']",[14 13  1 20 16  7 18 18 11 14  1 20 16 16  7 14 20 14  5 16  9]
19,['ខ្ញុំ' 'ឈ្មោះ' 'ឃឹម'],[14 11 13]
20,"['នៅ' 'ពេល' 'ដែល' 'សកម្ម_ជន' 'បឹង_កក់' 'ទាំង' '៧' 'នាក់' 'មួយ' 'ថ្ងៃ'
 'មុន' 'នោះ' 'ស្ត្រី' 'ទាំង' 'បី' 'នាក់' 'ត្រូវ_បាន' 'ឃុំ_ខ្លួន' 'មួយ'
 'យប់' 'រួច' 'ត្រូវ_បាន' 'ចោទ_ប្រកាន់' 'និង' 'ផ្តន្ទា_ទោស' 'នៅ' 'ថ្ងៃ'
 'បន្ទាប់' '។']","[ 7 11 17 11 13  5  3 10  3 11  8  5 11  5  3 10 20 20  3 11 16 20 20  2
 20  7 11  8  9]"
21,"['បួន' 'ឆ្នាំ' 'ក្រោយ_មក' 'ព្រះ~នារាយណ៍' 'រាជា' 'ជា' 'ព្រះ~រាជ' 'បុត្រ'
 'ច្បង' 'នៃ' 'ព្រះ~បរម' 'រាជា' '(' 'ពញា' 'យ៉ាត' ')' 'បាន' 'ត្រូវ' 'តាំង'
 'ជា' 'ព្រះ~ឧបរាជ' 'ហើយ' 'ទ្រង់' 'ទៅ' 'សាង' 'ប្រាសាទ' 'គង់' 'នៅ_ឯ' 'ជ្រោយ'
 'រលួស' '។']","[ 3 11 16 11 13 20  8 11  8  7  8 13 18 13 13 18  1 20 20  7 11 16 14 20
 20 11 20  7 11 13  9]"
22,['លោក~ស្រី' 'សង' 'លាក់'],[14 13 13]
23,['អ្នក~នាង' 'រស់រ៉ាឌី'],[14 13]
24,"['មុន_នឹង' 'សេចក្តី~ព្រាង' 'ច្បាប់' 'នេះ' 'ត្រូវ_បាន' 'អនុម័ត'
 'សេចក្តី~ព្រាង' 'ច្បាប់' 'ទាំង_នោះ' 'ត្រូវតែ' 'បង្កើត_ឡើង' 'ដោយ' 'មាន'
 'ការ~ប្រឹក្សា_យោបល់' 'ឲ្យ_បាន' 'ទូលំទូលាយ' 'និង' 'មាន' 'តម្លា^ភាព' 'ដែល'
 'មាន' 'ការ~ពិចារណា' 'លើ' 'ចំនុច' 'សំខាន់' 'ៗ' 'ពី' 'គ្រប់' 'ក្រុម' 'ដែល'
 'ពាក់ព័ន្ធ' 'និង' 'ត្រូវ_បាន' 'ប៉ះ_ពាល់' '។']","[ 7 11 11  5 20 20 11 11  5 20 20  7 20 11  7 11  2 20 11 17 20 11  7 11
  8  4  7  8 11 17 20  2 20 20  9]"
25,['លោក' 'មាឌ' 'ហួត'],[14 13 13]
26,"['លោក~ស្រី' 'ហ្វូគូ' 'សាវ៉ា' 'និង' 'លោក' 'សុខ' 'លីដា' 'បាន' 'ធ្វើ'
 'ការ~ប្រមូល' 'ភស្តុតាង' 'បន្ថែម' 'ដើម្បី' 'ដាក់' 'ជូន' 'គណៈ_កម្មាធិការ'
 'សិទ្ធិ' 'មនុស្ស' 'ថៃ' 'ដែល' 'ជា' 'ស្ថាប័ន' 'មួយ' 'កំពុង' 'ធ្វើ'
 'ការ~ស៊ើប_អង្កេត' 'ពី' 'សកម្មភាព' 'របស់' 'ក្រុមហ៊ុន' 'មិត្រ' 'ប៉ូល' 'នៅ'
 'កម្ពុជា' '។']","[14 13 13  2 14 13 13  1 20 11 11  8  7 20 20 11 11 11 13 17 20 11  3  1
 20 11  7 11  7 11 13 13  7 13  9]"
27,"['មណ្ឌល_គិរី' '៖' 'ទីតាំង' 'ធ្វើ' 'អាជីវកម្ម' 'រ៉ែ' 'មាស' 'ដែល' 'មាន'
 'ជាប់_ពាក់_ព័ន្ធ' 'ទៅ_នឹង' 'មេ_បញ្ជាការ' 'រង' 'កង_រាជ_អាវុធ_ហត្ថ' 'ខេត្ត'
 'មណ្ឌល_គិរី' 'និង' 'ជន_ជាតិ' 'ចិន' 'បី' 'នាក់' 'រួម' 'នឹង' 'មន្ត្រី'
 'អាជ្ញាធរ' 'មូលដ្ឋាន' 'ម្នាក់' 'ផង' 'នោះ' 'ត្រូវ_បាន' 'បង្ក្រាប'
 'បន្ទាប់_ពី' 'ដំណើរការ' 'ដោយ' 'ខុស' 'ច្បាប់' 'អស់' 'រយៈ_ពេល' 'ជាង' '២០'
 'ឆ្នាំ' 'មក_ហើយ' '។']","[13 18 11 21 11 11 11 17 20 20  7 11  8 11 11 13  2 11 13  3 10  8  7 11
 11 11  5 16  5 20 20  7 11  7  8 11  7 11  7  3 11 16  9]"
28,"['សូម' 'បញ្ជាក់' 'ថា' 'ជន_ភៀស_ខ្លួន' 'ទាំង' '៤' 'នាក់' 'ដែល' 'បាន'
 'ស្ម័គ្រ_ចិត្ត' 'មក' 'ប្រទេស' 'កម្ពុជា' 'នោះ' 'មាន' '៣' 'នាក់' 'ជា'
 'ជន_ជាតិ' 'អ៊ីរ៉ង់' '(' 'ប្រុស' 'ពីរ' 'ស្រី' 'មួយ' ')' 'និង' 'ម្នាក់'
 'ទៀត' 'ជា' 'ជន_ជាតិ' 'ភាគ' 'តិច' 'រូហ៊ីងយ៉ា' 'ដែល' 'រស់' 'នៅ_ក្នុង'
 'ប្រទេស' 'ភូមា' '។']","[20 20  7 11  5  3 10 17  1 20 20 11 13  5 20  3 10 20 11 13 18 11  3 11
  3 18  2  5 16 20 11 11  8 13 17 20  7 11 13  9]"
29,['លោក~ជំទាវ' 'ឈយ' 'ក្រឹម'],[14 13 13]
30,['ខ្ញុំ' 'ឈ្មោះ' 'ចក' 'សុផាត់'],[14 11 13 13]
31,['ខ្ញុំ' 'ឈ្មោះ' 'ឡាង' 'សាំង' 'ឡេង'],[14 11 13 13 13]
32,['កញ្ញា' 'គីម' 'លីហ្សា'],[14 13 13]
33,['លោក~ជំទាវ' 'ឯក'],[14 13]
34,['នេះ' 'គឺ_ជា' 'ធឿត' 'ធី'],[ 5 20 13 13]
